USE_DATE,ES,EUSE
20180101,총계,0.0826
20180102,총계,0.6676
20180103,총계,0.6081
20180104,총계,0.5355
20180105,총계,0.4583
20180106,총계,0.0921
20180107,총계,0.066
20180108,총계,0.5922
20180109,총계,0.5695
20180110,총계,0.5673
20180111,총계,0.665
20180112,총계,0.6207
20180113,총계,0.1703
20180114,총계,0.1308
20180115,총계,0.561
20180116,총계,0.4411
20180117,총계,0.3916
20180118,총계,0.3994
20180119,총계,0.396
20180120,총계,0.0775
20180121,총계,0.0807
20180122,총계,0.5515
20180123,총계,0.6769
20180124,총계,0.8371
20180125,총계,0.752
20180126,총계,0.8105
20180127,총계,0.415
20180128,총계,0.2223
20180129,총계,0.8048
20180130,총계,0.6812
20180131,총계,0.5166
20180201,총계,0.5332
20180202,총계,0.5394
20180203,총계,0.1941
20180204,총계,0.2433
20180205,총계,0.7891
20180206,총계,0.7619
20180207,총계,0.7279
20180208,총계,0.5784
20180209,총계,0.5251
20180210,총계,0.135
20180211,총계,0.1934
20180212,총계,0.7993
20180213,총계,0.5321
20180214,총계,0.3646
20180215,총계,0.1058
20180216,총계,0.1197
20180217,총계,0.1094
20180218,총계,0.1275
20180219,총계,0.6298
20180220,총계,0.4498
20180221,총계,0.4375
20180222,총계,0.4389
20180223,총계,0.3569
20180224,총계,0.0608
20180225,총계,0.1352
20180226,총계,0.509
20180227,총계,0.4035
20180228,총계,0.3387
20180301,총계,0.0769
20180302,총계,0.4028
20180303,총계,0.0599
20180304,총계,0.0521
20180305,총계,0.3877
20180306,총계,0.3611
20180307,총계,0.299
20180308,총계,0.3485
20180309,총계,0.3076
20180310,총계,0.057
20180311,총계,0.052
20180312,총계,0.2892
20180313,총계,0.2511
20180314,총계,0.2049
20180315,총계,0.1462
20180316,총계,0.2625
20180317,총계,0.0466
20180318,총계,0.0422
20180319,총계,0.3635
20180320,총계,0.3647
20180321,총계,0.3945
20180322,총계,0.3352
20180323,총계,0.3226
20180324,총계,0.0558
20180325,총계,0.0518
20180326,총계,0.2721
20180327,총계,0.148
20180328,총계,0.1396
20180329,총계,0.1405
20180330,총계,0.148
20180331,총계,0.0499
20180401,총계,0.0421
20180402,총계,0.1508
20180403,총계,0.1611
20180404,총계,0.1553
20180405,총계,0.1479
20180406,총계,0.1531
20180407,총계,0.046
20180408,총계,0.049
20180409,총계,0.2715
20180410,총계,0.1603
20180411,총계,0.1528
20180412,총계,0.158
20180413,총계,0.1538
20180414,총계,0.066
20180415,총계,0.055
20180416,총계,0.1619
20180417,총계,0.1598
20180418,총계,0.1442
20180419,총계,0.1451
20180420,총계,0.1347
20180421,총계,0.0512
20180422,총계,0.0462
20180423,총계,0.1482
20180424,총계,0.1463
20180425,총계,0.1521
20180426,총계,0.1528
20180427,총계,0.1458
20180428,총계,0.0647
20180429,총계,0.0488
20180430,총계,0.1369
