USE_DATE,ES,EUSE
201801,√—∞Ë,2017.961657
201802,√—∞Ë,1707.229262
201803,√—∞Ë,1319.980799
201804,√—∞Ë,829.38988
201805,√—∞Ë,525.939979
201806,√—∞Ë,341.7031112
201807,√—∞Ë,443.9765
201808,√—∞Ë,552.84075
201809,√—∞Ë,515.6745
201810,√—∞Ë,746.3652126
201811,√—∞Ë,1385.464962
201812,√—∞Ë,2056.976231
201901,√—∞Ë,2130.026877
201902,√—∞Ë,1826.004771
201903,√—∞Ë,1612.856447
201904,√—∞Ë,1187.453135
201905,√—∞Ë,565.6786705
201906,√—∞Ë,445.9964758
201907,√—∞Ë,439.8655738
201908,√—∞Ë,462.642114
201909,√—∞Ë,434.6137576
201910,√—∞Ë,596.2766638
201911,√—∞Ë,1041.079343
201912,√—∞Ë,1523.379963
202001,√—∞Ë,1621.712691
202002,√—∞Ë,1276.852005
202003,√—∞Ë,920.1800045
202004,√—∞Ë,597.4004326
202005,√—∞Ë,465.0305
202006,√—∞Ë,375.342
202007,√—∞Ë,413.3855
202008,√—∞Ë,445.1231585
202009,√—∞Ë,426.0935448
202010,√—∞Ë,675.4102212
202011,√—∞Ë,1062.137876
202012,√—∞Ë,617.9394461
