t,DayNumber,DayName,locdate,dateName,isHoliday,Day_index
2020-01-01,4,수,2020-01-01,1월1일,Y,3
2020-01-02,5,목,NaT,,,1
2020-01-03,6,금,NaT,,,1
2020-01-04,7,토,NaT,,,2
2020-01-05,1,일,NaT,,,3
2020-01-06,2,월,NaT,,,1
2020-01-07,3,화,NaT,,,1
2020-01-08,4,수,NaT,,,1
2020-01-09,5,목,NaT,,,1
2020-01-10,6,금,NaT,,,1
2020-01-11,7,토,NaT,,,2
2020-01-12,1,일,NaT,,,3
2020-01-13,2,월,NaT,,,1
2020-01-14,3,화,NaT,,,1
2020-01-15,4,수,NaT,,,1
2020-01-16,5,목,NaT,,,1
2020-01-17,6,금,NaT,,,1
2020-01-18,7,토,NaT,,,2
2020-01-19,1,일,NaT,,,3
2020-01-20,2,월,NaT,,,1
2020-01-21,3,화,NaT,,,1
2020-01-22,4,수,NaT,,,1
2020-01-23,5,목,NaT,,,1
2020-01-24,6,금,2020-01-24,설날,Y,3
2020-01-25,7,토,2020-01-25,설날,Y,3
2020-01-26,1,일,2020-01-26,설날,Y,3
2020-01-27,2,월,2020-01-27,설날,Y,3
2020-01-28,3,화,NaT,,,1
2020-01-29,4,수,NaT,,,1
2020-01-30,5,목,NaT,,,1
2020-01-31,6,금,NaT,,,1
2020-02-01,7,토,NaT,,,2
2020-02-02,1,일,NaT,,,3
2020-02-03,2,월,NaT,,,1
2020-02-04,3,화,NaT,,,1
2020-02-05,4,수,NaT,,,1
2020-02-06,5,목,NaT,,,1
2020-02-07,6,금,NaT,,,1
2020-02-08,7,토,NaT,,,2
2020-02-09,1,일,NaT,,,3
2020-02-10,2,월,NaT,,,1
2020-02-11,3,화,NaT,,,1
2020-02-12,4,수,NaT,,,1
2020-02-13,5,목,NaT,,,1
2020-02-14,6,금,NaT,,,1
2020-02-15,7,토,NaT,,,2
2020-02-16,1,일,NaT,,,3
2020-02-17,2,월,NaT,,,1
2020-02-18,3,화,NaT,,,1
2020-02-19,4,수,NaT,,,1
2020-02-20,5,목,NaT,,,1
2020-02-21,6,금,NaT,,,1
2020-02-22,7,토,NaT,,,2
2020-02-23,1,일,NaT,,,3
2020-02-24,2,월,NaT,,,1
2020-02-25,3,화,NaT,,,1
2020-02-26,4,수,NaT,,,1
2020-02-27,5,목,NaT,,,1
2020-02-28,6,금,NaT,,,1
2020-02-29,7,토,NaT,,,2
2020-03-01,1,일,2020-03-01,삼일절,Y,3
2020-03-02,2,월,NaT,,,1
2020-03-03,3,화,NaT,,,1
2020-03-04,4,수,NaT,,,1
2020-03-05,5,목,NaT,,,1
2020-03-06,6,금,NaT,,,1
2020-03-07,7,토,NaT,,,2
2020-03-08,1,일,NaT,,,3
2020-03-09,2,월,NaT,,,1
2020-03-10,3,화,NaT,,,1
2020-03-11,4,수,NaT,,,1
2020-03-12,5,목,NaT,,,1
2020-03-13,6,금,NaT,,,1
2020-03-14,7,토,NaT,,,2
2020-03-15,1,일,NaT,,,3
2020-03-16,2,월,NaT,,,1
2020-03-17,3,화,NaT,,,1
2020-03-18,4,수,NaT,,,1
2020-03-19,5,목,NaT,,,1
2020-03-20,6,금,NaT,,,1
2020-03-21,7,토,NaT,,,2
2020-03-22,1,일,NaT,,,3
2020-03-23,2,월,NaT,,,1
2020-03-24,3,화,NaT,,,1
2020-03-25,4,수,NaT,,,1
2020-03-26,5,목,NaT,,,1
2020-03-27,6,금,NaT,,,1
2020-03-28,7,토,NaT,,,2
2020-03-29,1,일,NaT,,,3
2020-03-30,2,월,NaT,,,1
2020-03-31,3,화,NaT,,,1
2020-04-01,4,수,NaT,,,1
2020-04-02,5,목,NaT,,,1
2020-04-03,6,금,NaT,,,1
2020-04-04,7,토,NaT,,,2
2020-04-05,1,일,NaT,,,3
2020-04-06,2,월,NaT,,,1
2020-04-07,3,화,NaT,,,1
2020-04-08,4,수,NaT,,,1
2020-04-09,5,목,NaT,,,1
2020-04-10,6,금,NaT,,,1
2020-04-11,7,토,NaT,,,2
2020-04-12,1,일,NaT,,,3
2020-04-13,2,월,NaT,,,1
2020-04-14,3,화,NaT,,,1
2020-04-15,4,수,2020-04-15,제21대 국회의원선거,Y,3
2020-04-16,5,목,NaT,,,1
2020-04-17,6,금,NaT,,,1
2020-04-18,7,토,NaT,,,2
2020-04-19,1,일,NaT,,,3
2020-04-20,2,월,NaT,,,1
2020-04-21,3,화,NaT,,,1
2020-04-22,4,수,NaT,,,1
2020-04-23,5,목,NaT,,,1
2020-04-24,6,금,NaT,,,1
2020-04-25,7,토,NaT,,,2
2020-04-26,1,일,NaT,,,3
2020-04-27,2,월,NaT,,,1
2020-04-28,3,화,NaT,,,1
2020-04-29,4,수,NaT,,,1
2020-04-30,5,목,2020-04-30,부처님오신날,Y,3
2020-05-01,6,금,NaT,근로자의날,,4
2020-05-02,7,토,NaT,,,2
2020-05-03,1,일,NaT,,,3
2020-05-04,2,월,NaT,,,1
2020-05-05,3,화,2020-05-05,어린이날,Y,3
2020-05-06,4,수,NaT,,,1
2020-05-07,5,목,NaT,,,1
2020-05-08,6,금,NaT,,,1
2020-05-09,7,토,NaT,,,2
2020-05-10,1,일,NaT,,,3
2020-05-11,2,월,NaT,,,1
2020-05-12,3,화,NaT,,,1
2020-05-13,4,수,NaT,,,1
2020-05-14,5,목,NaT,,,1
2020-05-15,6,금,NaT,,,1
2020-05-16,7,토,NaT,,,2
2020-05-17,1,일,NaT,,,3
2020-05-18,2,월,NaT,,,1
2020-05-19,3,화,NaT,,,1
2020-05-20,4,수,NaT,,,1
2020-05-21,5,목,NaT,,,1
2020-05-22,6,금,NaT,,,1
2020-05-23,7,토,NaT,,,2
2020-05-24,1,일,NaT,,,3
2020-05-25,2,월,NaT,,,1
2020-05-26,3,화,NaT,,,1
2020-05-27,4,수,NaT,,,1
2020-05-28,5,목,NaT,,,1
2020-05-29,6,금,NaT,,,1
2020-05-30,7,토,NaT,,,2
2020-05-31,1,일,NaT,,,3
2020-06-01,2,월,NaT,,,1
2020-06-02,3,화,NaT,,,1
2020-06-03,4,수,NaT,,,1
2020-06-04,5,목,NaT,,,1
2020-06-05,6,금,NaT,,,1
2020-06-06,7,토,2020-06-06,현충일,Y,3
2020-06-07,1,일,NaT,,,3
2020-06-08,2,월,NaT,,,1
2020-06-09,3,화,NaT,,,1
2020-06-10,4,수,NaT,,,1
2020-06-11,5,목,NaT,,,1
2020-06-12,6,금,NaT,,,1
2020-06-13,7,토,NaT,,,2
2020-06-14,1,일,NaT,,,3
2020-06-15,2,월,NaT,,,1
2020-06-16,3,화,NaT,,,1
2020-06-17,4,수,NaT,,,1
2020-06-18,5,목,NaT,,,1
2020-06-19,6,금,NaT,,,1
2020-06-20,7,토,NaT,,,2
2020-06-21,1,일,NaT,,,3
2020-06-22,2,월,NaT,,,1
2020-06-23,3,화,NaT,,,1
2020-06-24,4,수,NaT,,,1
2020-06-25,5,목,NaT,,,1
2020-06-26,6,금,NaT,,,1
2020-06-27,7,토,NaT,,,2
2020-06-28,1,일,NaT,,,3
2020-06-29,2,월,NaT,,,1
2020-06-30,3,화,NaT,,,1
2020-07-01,4,수,NaT,,,1
2020-07-02,5,목,NaT,,,1
2020-07-03,6,금,NaT,,,1
2020-07-04,7,토,NaT,,,2
2020-07-05,1,일,NaT,,,3
2020-07-06,2,월,NaT,,,1
2020-07-07,3,화,NaT,,,1
2020-07-08,4,수,NaT,,,1
2020-07-09,5,목,NaT,,,1
2020-07-10,6,금,NaT,,,1
2020-07-11,7,토,NaT,,,2
2020-07-12,1,일,NaT,,,3
2020-07-13,2,월,NaT,,,1
2020-07-14,3,화,NaT,,,1
2020-07-15,4,수,NaT,,,1
2020-07-16,5,목,NaT,,,1
2020-07-17,6,금,2020-07-17,제헌절,N,1
2020-07-18,7,토,NaT,,,2
2020-07-19,1,일,NaT,,,3
2020-07-20,2,월,NaT,,,1
2020-07-21,3,화,NaT,,,1
2020-07-22,4,수,NaT,,,1
2020-07-23,5,목,NaT,,,1
2020-07-24,6,금,NaT,,,1
2020-07-25,7,토,NaT,,,2
2020-07-26,1,일,NaT,,,3
2020-07-27,2,월,NaT,,,1
2020-07-28,3,화,NaT,,,1
2020-07-29,4,수,NaT,,,1
2020-07-30,5,목,NaT,,,1
2020-07-31,6,금,NaT,,,1
2020-08-01,7,토,NaT,,,2
2020-08-02,1,일,NaT,,,3
2020-08-03,2,월,NaT,,,1
2020-08-04,3,화,NaT,,,1
2020-08-05,4,수,NaT,,,1
2020-08-06,5,목,NaT,,,1
2020-08-07,6,금,NaT,,,1
2020-08-08,7,토,NaT,,,2
2020-08-09,1,일,NaT,,,3
2020-08-10,2,월,NaT,,,1
2020-08-11,3,화,NaT,,,1
2020-08-12,4,수,NaT,,,1
2020-08-13,5,목,NaT,,,1
2020-08-14,6,금,NaT,,,1
2020-08-15,7,토,2020-08-15,광복절,Y,3
2020-08-16,1,일,NaT,,,3
2020-08-17,2,월,2020-08-17,임시공휴일,Y,3
2020-08-18,3,화,NaT,,,1
2020-08-19,4,수,NaT,,,1
2020-08-20,5,목,NaT,,,1
2020-08-21,6,금,NaT,,,1
2020-08-22,7,토,NaT,,,2
2020-08-23,1,일,NaT,,,3
2020-08-24,2,월,NaT,,,1
2020-08-25,3,화,NaT,,,1
2020-08-26,4,수,NaT,,,1
2020-08-27,5,목,NaT,,,1
2020-08-28,6,금,NaT,,,1
2020-08-29,7,토,NaT,,,2
2020-08-30,1,일,NaT,,,3
2020-08-31,2,월,NaT,,,1
2020-09-01,3,화,NaT,,,1
2020-09-02,4,수,NaT,,,1
2020-09-03,5,목,NaT,,,1
2020-09-04,6,금,NaT,,,1
2020-09-05,7,토,NaT,,,2
2020-09-06,1,일,NaT,,,3
2020-09-07,2,월,NaT,,,1
2020-09-08,3,화,NaT,,,1
2020-09-09,4,수,NaT,,,1
2020-09-10,5,목,NaT,,,1
2020-09-11,6,금,NaT,,,1
2020-09-12,7,토,NaT,,,2
2020-09-13,1,일,NaT,,,3
2020-09-14,2,월,NaT,,,1
2020-09-15,3,화,NaT,,,1
2020-09-16,4,수,NaT,,,1
2020-09-17,5,목,NaT,,,1
2020-09-18,6,금,NaT,,,1
2020-09-19,7,토,NaT,,,2
2020-09-20,1,일,NaT,,,3
2020-09-21,2,월,NaT,,,1
2020-09-22,3,화,NaT,,,1
2020-09-23,4,수,NaT,,,1
2020-09-24,5,목,NaT,,,1
2020-09-25,6,금,NaT,,,1
2020-09-26,7,토,NaT,,,2
2020-09-27,1,일,NaT,,,3
2020-09-28,2,월,NaT,,,1
2020-09-29,3,화,NaT,,,1
2020-09-30,4,수,2020-09-30,추석,Y,3
2020-10-01,5,목,2020-10-01,추석,Y,3
2020-10-02,6,금,2020-10-02,추석,Y,3
2020-10-03,7,토,2020-10-03,개천절,Y,3
2020-10-04,1,일,NaT,,,3
2020-10-05,2,월,NaT,,,1
2020-10-06,3,화,NaT,,,1
2020-10-07,4,수,NaT,,,1
2020-10-08,5,목,NaT,,,1
2020-10-09,6,금,2020-10-09,한글날,Y,3
2020-10-10,7,토,NaT,,,2
2020-10-11,1,일,NaT,,,3
2020-10-12,2,월,NaT,,,1
2020-10-13,3,화,NaT,,,1
2020-10-14,4,수,NaT,,,1
2020-10-15,5,목,NaT,,,1
2020-10-16,6,금,NaT,,,1
2020-10-17,7,토,NaT,,,2
2020-10-18,1,일,NaT,,,3
2020-10-19,2,월,NaT,,,1
2020-10-20,3,화,NaT,,,1
2020-10-21,4,수,NaT,,,1
2020-10-22,5,목,NaT,,,1
2020-10-23,6,금,NaT,,,1
2020-10-24,7,토,NaT,,,2
2020-10-25,1,일,NaT,,,3
2020-10-26,2,월,NaT,,,1
2020-10-27,3,화,NaT,,,1
2020-10-28,4,수,NaT,,,1
2020-10-29,5,목,NaT,,,1
2020-10-30,6,금,NaT,,,1
2020-10-31,7,토,NaT,,,2
2020-11-01,1,일,NaT,,,3
2020-11-02,2,월,NaT,,,1
2020-11-03,3,화,NaT,,,1
2020-11-04,4,수,NaT,,,1
2020-11-05,5,목,NaT,,,1
2020-11-06,6,금,NaT,,,1
2020-11-07,7,토,NaT,,,2
2020-11-08,1,일,NaT,,,3
2020-11-09,2,월,NaT,,,1
2020-11-10,3,화,NaT,,,1
2020-11-11,4,수,NaT,,,1
2020-11-12,5,목,NaT,,,1
2020-11-13,6,금,NaT,,,1
2020-11-14,7,토,NaT,,,2
2020-11-15,1,일,NaT,,,3
2020-11-16,2,월,NaT,,,1
2020-11-17,3,화,NaT,,,1
2020-11-18,4,수,NaT,,,1
2020-11-19,5,목,NaT,,,1
2020-11-20,6,금,NaT,,,1
2020-11-21,7,토,NaT,,,2
2020-11-22,1,일,NaT,,,3
2020-11-23,2,월,NaT,,,1
2020-11-24,3,화,NaT,,,1
2020-11-25,4,수,NaT,,,1
2020-11-26,5,목,NaT,,,1
2020-11-27,6,금,NaT,,,1
2020-11-28,7,토,NaT,,,2
2020-11-29,1,일,NaT,,,3
2020-11-30,2,월,NaT,,,1
2020-12-01,3,화,NaT,,,1
2020-12-02,4,수,NaT,,,1
2020-12-03,5,목,NaT,,,1
2020-12-04,6,금,NaT,,,1
2020-12-05,7,토,NaT,,,2
2020-12-06,1,일,NaT,,,3
2020-12-07,2,월,NaT,,,1
2020-12-08,3,화,NaT,,,1
2020-12-09,4,수,NaT,,,1
2020-12-10,5,목,NaT,,,1
2020-12-11,6,금,NaT,,,1
